plr_id,plr_name,bzr_name,pgr_name,bez_id,bez_name,ew,mss_status_index,mss_status_class,mss_valid
01100101,Stülerstraße,Tiergarten Süd,Zentrum,01,Mitte,3580,2,mittel,True
01100102,Großer Tiergarten,Tiergarten Süd,Zentrum,01,Mitte,2034,1,hoch,True
01100103,Lützowstraße,Tiergarten Süd,Zentrum,01,Mitte,5790,2,mittel,True
01100104,Körnerstraße,Tiergarten Süd,Zentrum,01,Mitte,4889,2,mittel,True
01100205,Wilhelmstraße,Regierungsviertel,Zentrum,01,Mitte,2917,2,mittel,True
01100206,Unter den Linden,Regierungsviertel,Zentrum,01,Mitte,1876,2,mittel,True
01100207,Leipziger Straße,Regierungsviertel,Zentrum,01,Mitte,8844,2,mittel,True
01100308,Charitéviertel,Alexanderplatz,Zentrum,01,Mitte,7297,1,hoch,True
01100309,Oranienburger Straße,Alexanderplatz,Zentrum,01,Mitte,12651,2,mittel,True
01100310,Alexanderplatzviertel,Alexanderplatz,Zentrum,01,Mitte,10181,2,mittel,True
01100311,Karl-Marx-Allee,Alexanderplatz,Zentrum,01,Mitte,9787,2,mittel,True
01100312,Heine-Viertel West,Alexanderplatz,Zentrum,01,Mitte,10727,2,mittel,True
01100313,Heine-Viertel Ost,Alexanderplatz,Zentrum,01,Mitte,11590,2,mittel,True
01100414,Nordbahnhof,Brunnenstraße Süd,Zentrum,01,Mitte,5513,1,hoch,True
01100415,Invalidenstraße,Brunnenstraße Süd,Zentrum,01,Mitte,13348,1,hoch,True
01100416,Arkonaplatz,Brunnenstraße Süd,Zentrum,01,Mitte,13523,1,hoch,True
01200517,Huttenkiez,Moabit West,Moabit,01,Mitte,3924,2,mittel,True
01200518,Beusselkiez,Moabit West,Moabit,01,Mitte,7096,2,mittel,True
01200519,Emdener Straße,Moabit West,Moabit,01,Mitte,9592,2,mittel,True
01200520,Bremer Straße,Moabit West,Moabit,01,Mitte,9513,2,mittel,True
01200521,Zwinglistraße,Moabit West,Moabit,01,Mitte,5259,3,niedrig,True
01200522,Elberfelder Straße,Moabit West,Moabit,01,Mitte,11521,2,mittel,True
01200623,Stephankiez,Moabit Ost,Moabit,01,Mitte,10990,2,mittel,True
01200624,Heidestraße,Moabit Ost,Moabit,01,Mitte,6942,2,mittel,True
